YYYYMMDDHH air2m
2000010100 293.001
2000010106 294.623
2000010112 296.623
2000010118 293.978
2000010200 292.622
2000010206 293.781
2000010212 296.894
2000010218 294.413
2000010300 293.234
2000010306 294.78
2000010312 296.957
2000010318 294.334
2000010400 293.156
2000010406 295.069
2000010412 297.53
2000010418 294.132
2000010500 292.132
2000010506 294.42
2000010512 297.286
2000010518 293.598
2000010600 291.321
2000010606 293.676
2000010612 296.241
2000010618 293.121
2000010700 291.2
2000010706 293.687
2000010712 295.9
2000010718 292.855
2000010800 291.579
2000010806 293.967
2000010812 295.734
2000010818 292.891
2000010900 291.801
2000010906 293.676
2000010912 297.282
2000010918 293.58
2000011000 291.689
2000011006 294.413
2000011012 296.651
2000011018 293.193
2000011100 291.119
2000011106 294.068
2000011112 296.171
2000011118 292.691
2000011200 288.885
2000011206 294.112
2000011212 298.464
2000011218 293.855
2000011300 291.912
2000011306 295.18
2000011312 300.054
2000011318 294.265
2000011400 292.019
2000011406 296.146
2000011412 300.421
2000011418 294.734
2000011500 292.274
2000011506 295.933
2000011512 301.499
2000011518 295.178
2000011600 291.855
2000011606 296.391
2000011612 302.538
2000011618 295.842
2000011700 293.527
2000011706 295.877
2000011712 301.553
2000011718 295.323
2000011800 293.144
2000011806 296.311
2000011812 301.483
2000011818 295.445
2000011900 293.566
2000011906 297.09
2000011912 300.101
2000011918 296.276
2000012000 294.131
2000012006 297.055
2000012012 298.113
2000012018 295.38
2000012100 293.057
2000012106 295.636
2000012112 297.921
2000012118 294.901
2000012200 294.012
2000012206 295.898
2000012212 297.476
2000012218 294.8
2000012300 293.611
2000012306 295.742
2000012312 297.954
2000012318 294.91
2000012400 293.635
2000012406 295.42
2000012412 297.621
2000012418 294.643
2000012500 293.41
2000012506 295.466
2000012512 297.532
2000012518 294.656
2000012600 293.109
2000012606 295.136
2000012612 298.276
2000012618 295.076
2000012700 292.973
2000012706 295.811
2000012712 299.158
2000012718 295.433
2000012800 293.752
2000012806 295.821
2000012812 297.768
2000012818 294.388
2000012900 292.576
2000012906 294.378
2000012912 297.656
2000012918 293.845
2000013000 292.12
2000013006 293.865
2000013012 298.803
2000013018 294.623
2000013100 292.711
2000013106 294.723
2000013112 299.698
2000013118 294.387
2000020100 292.36
2000020106 295.023
2000020112 300.68
2000020118 295.079
2000020200 293.13
2000020206 296.226
2000020212 300.478
2000020218 295.648
2000020300 294.346
2000020306 296.58
2000020312 298.326
2000020318 295.235
2000020400 293.494
2000020406 295.923
2000020412 299.063
2000020418 295.697
2000020500 294.497
2000020506 296.128
2000020512 298.553
2000020518 295.642
2000020600 293.434
2000020606 296.253
2000020612 297.832
2000020618 295.22
2000020700 293.24
2000020706 295.087
2000020712 298.279
2000020718 294.577
2000020800 292.865
2000020806 294.689
2000020812 298.582
2000020818 294.601
2000020900 292.835
2000020906 294.58
2000020912 298.905
2000020918 294.745
2000021000 293.143
2000021006 294.488
2000021012 299.184
2000021018 294.768
2000021100 292.81
2000021106 294.601
2000021112 298.917
2000021118 294.367
2000021200 292.488
2000021206 294.543
2000021212 299.594
2000021218 294.302
2000021300 292.61
2000021306 294.81
2000021312 299.058
2000021318 294.366
2000021400 292.487
2000021406 294.498
2000021412 299.018
2000021418 293.546
2000021500 291.005
2000021506 294.022
2000021512 300.223
2000021518 293.778
2000021600 291.049
2000021606 295.266
2000021612 301.334
2000021618 294.656
2000021700 292.142
2000021706 295.357
2000021712 298.678
2000021718 294.633
2000021800 292.909
2000021806 295.123
2000021812 296.855
2000021818 293.88
2000021900 292.024
2000021906 293.612
2000021912 296.79
2000021918 293.512
2000022000 291.833
2000022006 293.077
2000022012 297.1
2000022018 293.446
2000022100 291.846
2000022106 293.656
2000022112 297.111
2000022118 293.621
2000022200 291.932
2000022206 293.81
2000022212 297.078
2000022218 293.633
2000022300 291.257
2000022306 293.544
2000022312 298.515
2000022318 293.844
2000022400 292.266
2000022406 294.733
2000022412 298.773
2000022418 294.111
2000022500 292.089
2000022506 295.181
2000022512 299.229
2000022518 294.867
2000022600 293.355
2000022606 295.245
2000022612 298.737
2000022618 294.589
2000022700 292.934
2000022706 294.722
2000022712 298.807
2000022718 294.593
2000022800 292.992
2000022806 294.713
2000022812 297.035
2000022818 294.024
2000022900 292.248
2000022906 293.957
2000022912 296.659
2000022918 293.613
2000030100 291.447
2000030106 292.891
2000030112 296.548
2000030118 293.336
2000030200 291.492
2000030206 292.735
2000030212 296.148
2000030218 293.015
2000030300 291.403
2000030306 292.913
2000030312 296.503
2000030318 292.948
2000030400 291.436
2000030406 293.355
2000030412 296.98
2000030418 293.735
2000030500 291.29
2000030506 292.889
2000030512 297.354
2000030518 292.934
2000030600 290.313
2000030606 293.052
2000030612 297.633
2000030618 293.634
2000030700 290.936
2000030706 293.946
2000030712 299.464
2000030718 294.218
2000030800 292.441
2000030806 295.111
2000030812 298.26
2000030818 294.448
2000030900 293.058
2000030906 294.481
2000030912 297.156
2000030918 293.925
2000031000 292.514
2000031006 293.892
2000031012 297.056
2000031018 294.213
2000031100 292.535
2000031106 294.081
2000031112 297.669
2000031118 294.569
2000031200 293.236
2000031206 295.403
2000031212 296.933
2000031218 294.822
2000031300 293.723
2000031306 295.754
2000031312 297.844
2000031318 295.045
2000031400 294.199
2000031406 295.443
2000031412 297.632
2000031418 294.722
2000031500 293.51
2000031506 295.077
2000031512 297.579
2000031518 294.767
2000031600 293.632
2000031606 295.356
2000031612 297.499
2000031618 294.455
2000031700 292.654
2000031706 294.743
2000031712 298.769
2000031718 294.276
2000031800 292.82
2000031806 294.945
2000031812 298.848
2000031818 294.577
2000031900 293.13
2000031906 294.978
2000031912 299.793
2000031918 294.732
2000032000 293.041
2000032006 294.977
2000032012 297.29
2000032018 293.978
2000032100 292.245
2000032106 293.423
2000032112 297.901
2000032118 294.322
2000032200 292.866
2000032206 293.432
2000032212 298.36
2000032218 294.044
2000032300 292.488
2000032306 294.135
2000032312 297.414
2000032318 293.845
2000032400 292.266
2000032406 293.899
2000032412 297.681
2000032418 293.1
2000032500 290.647
2000032506 293.839
2000032512 298.837
2000032518 293.696
2000032600 292.087
2000032606 294.045
2000032612 298.677
2000032618 294.213
2000032700 292.146
2000032706 293.912
2000032712 297.248
2000032718 293.679
2000032800 291.36
2000032806 293.812
2000032812 298.55
2000032818 293.667
2000032900 292.277
2000032906 293.756
2000032912 297.827
2000032918 293.488
2000033000 292.244
2000033006 293.169
2000033012 297.182
2000033018 293.266
2000033100 291.866
2000033106 293.256
2000033112 298.573
2000033118 293.166
2000040100 291.499
2000040106 293.223
2000040112 299.041
2000040118 293.488
2000040200 291.756
2000040206 293.801
2000040212 298.799
2000040218 293.592
2000040300 291.98
2000040306 293.049
2000040312 295.982
2000040318 292.805
2000040400 291.061
2000040406 291.693
2000040412 296.16
2000040418 292.782
2000040500 291.369
2000040506 292.444
2000040512 296.47
2000040518 292.403
2000040600 290.959
2000040606 292.647
2000040612 295.986
2000040618 291.806
2000040700 290.07
2000040706 291.867
2000040712 296.352
2000040718 292.536
2000040800 291.259
2000040806 292.68
2000040812 295.702
2000040818 292.801
2000040900 291.691
2000040906 292.843
2000040912 296.181
2000040918 292.434
2000041000 291.391
2000041006 292.756
2000041012 296.419
2000041018 292.735
