YYYYMMDDHH FOGO
2000010100 0
2000010106 0
2000010112 0
2000010118 0
2000010200 0
2000010206 0
2000010212 0
2000010218 0
2000010300 0
2000010306 0
2000010312 0
2000010318 0
2000010400 0
2000010406 0
2000010412 0
2000010418 0
2000010500 0
2000010506 0
2000010512 0
2000010518 0
2000010600 0
2000010606 0
2000010612 0
2000010618 0
2000010700 0
2000010706 0
2000010712 0
2000010718 0
2000010800 0
2000010806 0
2000010812 0
2000010818 0
2000010900 0
2000010906 0
2000010912 0
2000010918 0
2000011000 0
2000011006 0
2000011012 0
2000011018 0
2000011100 0
2000011106 0
2000011112 0
2000011118 0
2000011200 0
2000011206 0
2000011212 0
2000011218 0
2000011300 0
2000011306 0
2000011312 0
2000011318 0
2000011400 0
2000011406 0
2000011412 0
2000011418 0
2000011500 0
2000011506 0
2000011512 0
2000011518 0
2000011600 0
2000011606 0
2000011612 0
2000011618 0
2000011700 0
2000011706 0
2000011712 0
2000011718 0
2000011800 0
2000011806 0
2000011812 0
2000011818 0
2000011900 0
2000011906 0
2000011912 0
2000011918 0
2000012000 0
2000012006 0
2000012012 0
2000012018 0
2000012100 0
2000012106 0
2000012112 0
2000012118 0
2000012200 0
2000012206 0
2000012212 0
2000012218 0
2000012300 0
2000012306 0
2000012312 0
2000012318 0
2000012400 0
2000012406 0
2000012412 0
2000012418 0
2000012500 0
2000012506 0
2000012512 0
2000012518 0
2000012600 0
2000012606 0
2000012612 0
2000012618 0
2000012700 0
2000012706 0
2000012712 0
2000012718 0
2000012800 0
2000012806 0
2000012812 0
2000012818 0
2000012900 0
2000012906 0
2000012912 0
2000012918 0
2000013000 0
2000013006 0
2000013012 0
2000013018 0
2000013100 0
2000013106 0
2000013112 0
2000013118 0
2000020100 0
2000020106 0
2000020112 0
2000020118 0
2000020200 0
2000020206 0
2000020212 0
2000020218 0
2000020300 0
2000020306 0
2000020312 0
2000020318 0
2000020400 0
2000020406 0
2000020412 0
2000020418 0
2000020500 0
2000020506 0
2000020512 0
2000020518 0
2000020600 0
2000020606 0
2000020612 0
2000020618 0
2000020700 0
2000020706 0
2000020712 0
2000020718 0
2000020800 0
2000020806 0
2000020812 0
2000020818 0
2000020900 0
2000020906 0
2000020912 0
2000020918 0
2000021000 0
2000021006 0
2000021012 0
2000021018 0
2000021100 0
2000021106 0
2000021112 0
2000021118 0
2000021200 0
2000021206 0
2000021212 0
2000021218 0
2000021300 0
2000021306 0
2000021312 0
2000021318 0
2000021400 0
2000021406 0
2000021412 0
2000021418 0
2000021500 0
2000021506 0
2000021512 0
2000021518 0
2000021600 0
2000021606 0
2000021612 0
2000021618 0
2000021700 0
2000021706 0
2000021712 0
2000021718 0
2000021800 0
2000021806 0
2000021812 0
2000021818 0
2000021900 0
2000021906 0
2000021912 0
2000021918 0
2000022000 0
2000022006 0
2000022012 0
2000022018 0
2000022100 0
2000022106 0
2000022112 0
2000022118 0
2000022200 0
2000022206 0
2000022212 0
2000022218 0
2000022300 0
2000022306 0
2000022312 0
2000022318 0
2000022400 0
2000022406 0
2000022412 0
2000022418 0
2000022500 0
2000022506 0
2000022512 0
2000022518 0
2000022600 0
2000022606 0
2000022612 0
2000022618 0
2000022700 0
2000022706 0
2000022712 0
2000022718 0
2000022800 0
2000022806 0
2000022812 0
2000022818 0
2000022900 0
2000022906 0
2000022912 0
2000022918 0
2000030100 0
2000030106 0
2000030112 0
2000030118 0
2000030200 0
2000030206 0
2000030212 0
2000030218 0
2000030300 0
2000030306 0
2000030312 0
2000030318 0
2000030400 0
2000030406 0
2000030412 0
2000030418 0
2000030500 0
2000030506 0
2000030512 0
2000030518 0
2000030600 0
2000030606 0
2000030612 0
2000030618 0
2000030700 0
2000030706 0
2000030712 0
2000030718 0
2000030800 0
