#YYYYMMDDHH,air2m,prate,soilw0-10cm,soilw10-200cm,FOGO
2000010100,293001,5.58866e-05,0.388624,0.366305,0
2000010106,294623,3.00301e-05,0.378611,0.366748,0
2000010112,296623,0.000124085,0.374555,0.367081,0
2000010118,293978,0.00025489,0.391011,0.367855,0
2000010200,292622,7.49033e-05,0.384469,0.368632,0
2000010206,293781,3.14773e-05,0.375248,0.369186,0
2000010212,296894,5.4292e-05,0.364384,0.369074,0
2000010218,294413,0.000141427,0.374205,0.369074,0
2000010300,293234,1.70425e-05,0.368882,0.369297,0
2000010306,294.78,8.59158e-06,0.362648,0.36941,0
2000010312,296957,9.54676e-05,0.362611,0.368857,0
2000010318,294334,7.70449e-05,0.36339,0.369085,0
2000010400,293156,4.14994e-06,0.360149,0.368752,0
2000010406,295069,3.36459e-07,0.355353,0.368866,0
2000010412,297.53,0.000152448,0.35597,0.368202,0
2000010418,294132,7.77357e-05,0.360282,0.368205,0
2000010500,292132,1.21924e-06,0.357039,0.367873,0
2000010506,294.42,4.4612e-06,0.352805,0.367873,0
2000010512,297286,0.000175128,0.354155,0.367432,0
2000010518,293598,7.92436e-05,0.357034,0.367211,0
2000010600,291321,0.0,0.354463,0.367101,0
2000010606,293676,1.33223e-06,0.350452,0.367101,0
2000010612,296241,0.000281808,0.367705,0.36688,0
2000010618,293121,4.75198e-05,0.366226,0.366883,0
2000010700,291.2,0.0,0.361767,0.366884,0
2000010706,293687,1.55368e-06,0.356758,0.366995,0
2000010712,295.9,0.000226064,0.364162,0.366662,0
2000010718,292855,7.84296e-05,0.36491,0.366775,0
2000010800,291579,0.0,0.361116,0.367111,0
2000010806,293967,8.85589e-06,0.357103,367,0
2000010812,295734,0.000253232,0.370296,0.366889,0
2000010818,292891,5.86849e-05,0.36831,0.366889,0
2000010900,291801,0.0,0.363418,0.366889,0
2000010906,293676,4.40059e-07,0.358083,0.366999,0
2000010912,297282,6.62201e-05,0.348485,0.366222,0
2000010918,293.58,0.000113224,0.354975,0.365996,0
2000011000,291689,1.6681e-06,0.353101,0.365885,0
2000011006,294413,1.42689e-05,0.35066,0.365775,0
2000011012,296651,0.000198318,0.358351,0.365659,0
2000011018,293193,5.98204e-05,0.357952,0.365657,0
2000011100,291119,7.84072e-07,0.354747,0.365768,0
2000011106,294068,3.33498e-06,0.350202,0.365654,0
2000011112,296171,0.000241877,0.362687,0.36532,0
2000011118,292691,4.21988e-05,0.35872,0.365318,0
2000011200,288885,0.0,0.354735,0.365206,0
2000011206,294112,1.87911e-06,0.350078,0.365317,0
2000011212,298464,5.63265e-05,0.338972,0.364871,0
2000011218,293855,4.94588e-05,0.339503,0.364093,0
2000011300,291912,0.0,0.339067,0.364093,0
2000011306,295.18,7.85107e-07,0.336629,0.363757,0
2000011312,300054,6.73545e-05,0.328631,0.362644,0
2000011318,294265,4.22962e-05,0.330046,0.362197,0
2000011400,292019,4.2621e-06,0.330727,0.361975,0
2000011406,296146,1.45051e-05,0.330295,0.361754,0
2000011412,300421,0.000146293,0.336012,0.36064,0
2000011418,294734,4.96703e-05,0.335266,0.360526,0
2000011500,292274,5.72105e-06,0.334933,0.360526,0
2000011506,295933,7.76738e-07,0.331505,0.360192,0
2000011512,301499,0.000108545,0.332017,0.35941,0
2000011518,295178,7.32563e-06,0.327935,0.359074,0
2000011600,291855,1.1112e-05,0.329147,0.358963,0
2000011606,296391,1.60537e-05,0.327726,0.358741,0
2000011612,302538,3.55795e-05,0.321196,0.357851,0
2000011618,295842,8.78825e-05,0.326302,0.357406,0
2000011700,293527,3.45423e-05,0.332063,0.357184,0
2000011706,295877,2.87115e-05,0.332718,0.356961,0
2000011712,301553,8.1942e-05,0.331391,0.356294,0
2000011718,295323,6.80476e-05,0.333286,0.356291,0
2000011800,293144,3.35183e-05,0.33529,0.356514,0
2000011806,296311,1.08744e-05,0.330746,0.356401,0
2000011812,301483,0.000137123,0.33273,0.355622,0
2000011818,295445,8.36822e-05,0.334197,0.355732,0
2000011900,293566,3.41562e-05,0.335217,0.355846,0
2000011906,297.09,9.85537e-06,0.331671,0.355734,0
2000011912,300101,0.000246664,0.347435,0.355735,0
2000011918,296276,0.000162049,0.359332,0.355844,0
2000012000,294131,1.02319e-05,0.355221,0.355844,0
2000012006,297055,5.46977e-05,0.356869,0.356065,0
2000012012,298113,0.000326486,0.384328,0.356616,0
2000012018,295.38,0.000171132,0.388792,0.357613,0
2000012100,293057,4.45223e-05,0.381353,0.358502,0
2000012106,295636,2.69583e-05,0.372255,0.358724,0
2000012112,297921,0.000221786,0.379683,0.358836,0
2000012118,294901,0.000225193,0.392638,0.35995,0
2000012200,294012,1.57713e-05,0.379619,0.360397,0
2000012206,295898,5.32973e-05,0.375623,0.360619,0
2000012212,297476,0.000304314,0.394567,0.360952,0
2000012218,294.8,0.000171096,0.395513,0.362284,0
2000012300,293611,3.48154e-05,0.385092,0.363064,0
2000012306,295742,0.000106106,0.384704,0.363624,0
2000012312,297954,0.000382612,0.410404,0.364625,0
2000012318,294.91,0.000187793,0.399886,0.366517,0
2000012400,293635,9.7922e-06,0.383759,0.367073,0
2000012406,295.42,8.31323e-05,0.38279,0.367633,0
2000012412,297621,0.00034153,0.405515,0.3683,0
2000012418,294643,0.000110687,0.39242,0.369746,0
2000012500,293.41,1.24366e-05,0.38084,0.369748,0
2000012506,295466,4.98243e-05,0.376192,0.36997,0
2000012512,297532,0.0002364,0.38451,0.370193,0
2000012518,294656,0.000127421,0.387735,0.37064,0
2000012600,293109,8.91526e-06,0.377858,0.370751,0
2000012606,295136,2.80397e-06,0.368527,0.371086,0
2000012612,298276,0.000231521,0.377196,0.370533,0
2000012618,295076,7.22121e-05,0.374053,0.370643,0
2000012700,292973,0.0,0.366953,0.370755,0
2000012706,295811,2.77724e-06,0.360402,0.370644,0
2000012712,299158,0.000207708,0.365014,0.369979,0
2000012718,295433,0.000144298,0.373368,0.3702,0
2000012800,293752,1.7422e-05,0.369049,0.370422,0
2000012806,295821,3.9664e-05,0.366957,0.370312,0
2000012812,297768,0.000284516,0.385853,0.370531,0
2000012818,294388,0.0001102,0.381859,0.371084,0
2000012900,292576,1.12582e-05,0.373442,0.371194,0
2000012906,294378,5.5305e-06,0.365131,0.371084,0
2000012912,297656,0.000221809,0.370112,0.371083,0
2000012918,293845,0.000121019,0.376079,0.370971,0
2000013000,292.12,0.0,0.367672,0.37097,0
2000013006,293865,1.09995e-07,0.36058,0.37086,0
2000013012,298803,0.000127267,0.356831,0.370415,0
2000013018,294623,0.000149995,0.364855,0.37008,0
2000013100,292711,0.0,0.359881,0.37008,0
2000013106,294723,"0,004364",0.355563,0.370082,0
2000013112,299698,7.76549e-05,0.341617,0.368186,0
2000013118,294387,4.8051e-05,0.343152,0.367962,0
2000020100,292.36,0.0,0.34217,0.367739,0
2000020106,295023,1.12136e-07,0.33996,0.367407,0
2000020112,300.68,6.15547e-05,0.333932,0.366185,0
2000020118,295079,2.96498e-05,0.334486,0.365739,0
2000020200,293.13,0.0,0.334171,0.365627,0
2000020206,296226,4.84088e-06,0.332628,0.365185,0
2000020212,300478,0.000131137,0.334387,0.364406,0
2000020218,295648,0.000169792,0.349567,0.364406,0
2000020300,294346,0.0,0.345483,0.364184,0
2000020306,296.58,3.34733e-05,0.344488,0.364074,0
2000020312,298326,0.000209424,0.354048,0.363962,0
2000020318,295235,0.000139296,0.368712,0.364296,0
2000020400,293494,0.0,0.362079,0.364296,0
2000020406,295923,9.06922e-06,0.356885,0.364407,0
2000020412,299063,0.00015221,0.354054,0.364075,0
2000020418,295697,0.000136145,0.367678,0.364187,0
2000020500,294497,0.0,0.361994,0.364412,0
2000020506,296128,0.0,0.355986,0.364194,0
2000020512,298553,0.000235043,0.364412,0.364082,0
2000020518,295642,5.78067e-05,0.366062,0.363972,0
2000020600,293434,0.00013098,0.382415,0.364307,0
2000020606,296253,2.02916e-05,0.374738,0.364976,0
2000020612,297832,0.000258641,0.385721,0.365308,0
2000020618,295.22,0.000100958,0.383842,0.366087,0
2000020700,293.24,9.88185e-06,0.376286,0.366199,0
2000020706,295087,3.24714e-05,0.372402,0.366535,0
2000020712,298279,0.00010214,0.36424,0.366312,0
2000020718,294577,0.000151451,0.373625,0.366532,0
2000020800,292865,1.44663e-05,0.368759,0.366867,0
2000020806,294689,3.70129e-06,0.361897,0.366868,0
2000020812,298582,6.89105e-05,0.351119,0.366421,0
2000020818,294601,0.00012639,0.358158,0.366423,0
2000020900,292835,1.82731e-05,0.357725,0.366535,0
2000020906,294.58,2.11346e-05,0.355971,0.366425,0
2000020912,298905,3.72017e-05,0.343849,0.365762,0
2000020918,294745,0.000155369,0.355062,0.365541,0
2000021000,293143,3.31174e-05,0.35463,0.365433,0
2000021006,294488,2.78045e-06,0.350294,0.365545,0
2000021012,299184,6.81123e-05,0.341938,0.365103,0
2000021018,294768,8.30361e-05,0.345055,0.364658,0
2000021100,292.81,4.36166e-05,0.348089,0.364773,0
2000021106,294601,8.14093e-06,0.345754,0.364773,0
2000021112,298917,8.84644e-05,0.341201,0.364219,0
2000021118,294367,8.31806e-05,0.346862,0.36411,0
2000021200,292488,3.16404e-05,0.348084,0.364224,0
2000021206,294543,1.82728e-05,0.345643,0.364224,0
2000021212,299594,5.76375e-05,0.335756,0.363671,0
