YYYYMMDDHH prate
2000010100 5.58866e-05
2000010106 3.00301e-05
2000010112 0.000124085
2000010118 0.00025489
2000010200 7.49033e-05
2000010206 3.14773e-05
2000010212 5.4292e-05
2000010218 0.000141427
2000010300 1.70425e-05
2000010306 8.59158e-06
2000010312 9.54676e-05
2000010318 7.70449e-05
2000010400 4.14994e-06
2000010406 3.36459e-07
2000010412 0.000152448
2000010418 7.77357e-05
2000010500 1.21924e-06
2000010506 4.4612e-06
2000010512 0.000175128
2000010518 7.92436e-05
2000010600 0.0
2000010606 1.33223e-06
2000010612 0.000281808
2000010618 4.75198e-05
2000010700 0.0
2000010706 1.55368e-06
2000010712 0.000226064
2000010718 7.84296e-05
2000010800 0.0
2000010806 8.85589e-06
2000010812 0.000253232
2000010818 5.86849e-05
2000010900 0.0
2000010906 4.40059e-07
2000010912 6.62201e-05
2000010918 0.000113224
2000011000 1.6681e-06
2000011006 1.42689e-05
2000011012 0.000198318
2000011018 5.98204e-05
2000011100 7.84072e-07
2000011106 3.33498e-06
2000011112 0.000241877
2000011118 4.21988e-05
2000011200 0.0
2000011206 1.87911e-06
2000011212 5.63265e-05
2000011218 4.94588e-05
2000011300 0.0
2000011306 7.85107e-07
2000011312 6.73545e-05
2000011318 4.22962e-05
2000011400 4.2621e-06
2000011406 1.45051e-05
2000011412 0.000146293
2000011418 4.96703e-05
2000011500 5.72105e-06
2000011506 7.76738e-07
2000011512 0.000108545
2000011518 7.32563e-06
2000011600 1.1112e-05
2000011606 1.60537e-05
2000011612 3.55795e-05
2000011618 8.78825e-05
2000011700 3.45423e-05
2000011706 2.87115e-05
2000011712 8.1942e-05
2000011718 6.80476e-05
2000011800 3.35183e-05
2000011806 1.08744e-05
2000011812 0.000137123
2000011818 8.36822e-05
2000011900 3.41562e-05
2000011906 9.85537e-06
2000011912 0.000246664
2000011918 0.000162049
2000012000 1.02319e-05
2000012006 5.46977e-05
2000012012 0.000326486
2000012018 0.000171132
2000012100 4.45223e-05
2000012106 2.69583e-05
2000012112 0.000221786
2000012118 0.000225193
2000012200 1.57713e-05
2000012206 5.32973e-05
2000012212 0.000304314
2000012218 0.000171096
2000012300 3.48154e-05
2000012306 0.000106106
2000012312 0.000382612
2000012318 0.000187793
2000012400 9.7922e-06
2000012406 8.31323e-05
2000012412 0.00034153
2000012418 0.000110687
2000012500 1.24366e-05
2000012506 4.98243e-05
2000012512 0.0002364
2000012518 0.000127421
2000012600 8.91526e-06
2000012606 2.80397e-06
2000012612 0.000231521
2000012618 7.22121e-05
2000012700 0.0
2000012706 2.77724e-06
2000012712 0.000207708
2000012718 0.000144298
2000012800 1.7422e-05
2000012806 3.9664e-05
2000012812 0.000284516
2000012818 0.0001102
2000012900 1.12582e-05
2000012906 5.5305e-06
2000012912 0.000221809
2000012918 0.000121019
2000013000 0.0
2000013006 1.09995e-07
2000013012 0.000127267
2000013018 0.000149995
2000013100 0.0
2000013106 4.364e-06
2000013112 7.76549e-05
2000013118 4.8051e-05
2000020100 0.0
2000020106 1.12136e-07
2000020112 6.15547e-05
2000020118 2.96498e-05
2000020200 0.0
2000020206 4.84088e-06
2000020212 0.000131137
2000020218 0.000169792
2000020300 0.0
2000020306 3.34733e-05
2000020312 0.000209424
2000020318 0.000139296
2000020400 0.0
2000020406 9.06922e-06
2000020412 0.00015221
2000020418 0.000136145
2000020500 0.0
2000020506 0.0
2000020512 0.000235043
2000020518 5.78067e-05
2000020600 0.00013098
2000020606 2.02916e-05
2000020612 0.000258641
2000020618 0.000100958
2000020700 9.88185e-06
2000020706 3.24714e-05
2000020712 0.00010214
2000020718 0.000151451
2000020800 1.44663e-05
2000020806 3.70129e-06
2000020812 6.89105e-05
2000020818 0.00012639
2000020900 1.82731e-05
2000020906 2.11346e-05
2000020912 3.72017e-05
2000020918 0.000155369
2000021000 3.31174e-05
2000021006 2.78045e-06
2000021012 6.81123e-05
2000021018 8.30361e-05
2000021100 4.36166e-05
2000021106 8.14093e-06
2000021112 8.84644e-05
2000021118 8.31806e-05
2000021200 3.16404e-05
2000021206 1.82728e-05
2000021212 5.76375e-05
2000021218 8.31794e-05
2000021300 1.72253e-05
2000021306 2.60017e-05
2000021312 3.90555e-05
2000021318 0.00014452
2000021400 2.92729e-05
2000021406 6.95395e-06
2000021412 7.51349e-05
2000021418 4.32415e-05
2000021500 4.03777e-06
2000021506 1.09995e-07
2000021512 4.56834e-05
2000021518 7.57739e-06
2000021600 6.39317e-06
2000021606 0.0
2000021612 7.13344e-05
2000021618 2.78817e-05
2000021700 6.7286e-06
2000021706 3.65092e-05
2000021712 0.000176935
2000021718 0.000182154
2000021800 1.39978e-05
2000021806 1.30999e-05
2000021812 0.000329578
2000021818 0.000122396
2000021900 9.70091e-06
2000021906 8.75113e-06
2000021912 0.000214966
2000021918 0.00013623
2000022000 8.80143e-07
2000022006 4.40059e-07
2000022012 0.000156068
2000022018 6.8437e-05
2000022100 1.23445e-05
2000022106 1.54402e-05
2000022112 0.000123989
2000022118 6.81349e-05
2000022200 2.76534e-05
2000022206 4.35238e-06
2000022212 9.47216e-05
2000022218 6.72097e-05
2000022300 0.0
2000022306 1.32584e-06
2000022312 4.90629e-05
2000022318 5.40182e-05
2000022400 2.33177e-06
2000022406 5.38372e-06
2000022412 8.87793e-05
2000022418 5.3423e-05
2000022500 6.72945e-07
2000022506 5.60757e-07
2000022512 0.00020892
2000022518 7.75427e-05
2000022600 8.35122e-05
2000022606 2.21918e-05
2000022612 0.000158548
2000022618 0.000132835
2000022700 2.63495e-05
2000022706 2.11253e-05
2000022712 0.000166083
2000022718 0.000145236
2000022800 3.48368e-05
2000022806 3.81724e-05
2000022812 0.000275658
2000022818 0.000155318
2000022900 1.34483e-06
2000022906 1.76252e-06
2000022912 0.000229353
2000022918 0.000119995
2000030100 2.5797e-06
2000030106 3.30012e-07
2000030112 0.000150685
2000030118 0.000113006
2000030200 0.0
2000030206 1.76142e-06
2000030212 0.000178158
2000030218 8.51088e-05
2000030300 0.0
2000030306 4.40059e-07
2000030312 0.000116037
2000030318 8.09605e-05
2000030400 0.0
2000030406 4.40059e-07
2000030412 0.000143723
2000030418 8.53506e-05
2000030500 0.0
2000030506 4.43254e-07
2000030512 6.51788e-05
2000030518 4.59392e-05
2000030600 0.0
2000030606 2.21123e-07
2000030612 0.000159675
2000030618 6.3174e-05
2000030700 0.0
2000030706 7.74423e-07
2000030712 7.38428e-05
2000030718 7.08516e-05
2000030800 1.14421e-05
2000030806 1.21872e-06
2000030812 0.000226614
2000030818 0.000188789
2000030900 2.0973e-05
2000030906 2.78634e-05
2000030912 0.000311614
2000030918 0.000192358
2000031000 6.02386e-05
2000031006 1.33184e-05
2000031012 0.000195966
2000031018 0.000143393
2000031100 1.11039e-05
2000031106 1.11127e-07
2000031112 9.98281e-05
2000031118 0.000191196
2000031200 1.57747e-05
2000031206 2.47737e-05
2000031212 0.000291979
2000031218 0.000157096
2000031300 8.0678e-06
2000031306 2.55107e-05
2000031312 0.000230366
2000031318 0.000199913
2000031400 4.00857e-05
2000031406 9.76418e-05
2000031412 0.000293848
2000031418 0.000169269
2000031500 4.7757e-05
2000031506 3.9451e-05
2000031512 0.000282137
2000031518 9.51733e-05
2000031600 7.16009e-06
2000031606 8.6666e-06
2000031612 0.000268103
2000031618 7.36616e-05
2000031700 1.78436e-05
2000031706 2.16385e-05
2000031712 7.05898e-05
2000031718 7.94974e-05
2000031800 2.69186e-06
2000031806 5.58218e-06
2000031812 0.000134524
2000031818 5.73425e-05
2000031900 1.8374e-05
2000031906 5.5008e-07
2000031912 9.4357e-05
2000031918 7.46983e-05
2000032000 3.59075e-05
2000032006 1.56616e-05
2000032012 0.000270668
2000032018 7.35836e-05
2000032100 3.63515e-06
2000032106 1.37725e-05
2000032112 4.02386e-05
2000032118 5.59484e-05
2000032200 2.57553e-05
2000032206 1.88264e-05
2000032212 4.37804e-05
2000032218 4.1954e-05
2000032300 1.26603e-05
2000032306 1.32181e-05
2000032312 0.000164217
2000032318 6.96116e-05
2000032400 1.46658e-05
2000032406 2.22711e-06
2000032412 0.000141618
2000032418 3.54882e-05
2000032500 0.0
2000032506 8.82329e-07
2000032512 5.75473e-05
2000032518 3.70858e-05
2000032600 0.0
2000032606 4.42271e-07
2000032612 8.83059e-05
2000032618 9.39796e-05
