YYYYMMDDHH soilw10-200cm
2000010100 0.366305
2000010106 0.366748
2000010112 0.367081
2000010118 0.367855
2000010200 0.368632
2000010206 0.369186
2000010212 0.369074
2000010218 0.369074
2000010300 0.369297
2000010306 0.36941
2000010312 0.368857
2000010318 0.369085
2000010400 0.368752
2000010406 0.368866
2000010412 0.368202
2000010418 0.368205
2000010500 0.367873
2000010506 0.367873
2000010512 0.367432
2000010518 0.367211
2000010600 0.367101
2000010606 0.367101
2000010612 0.36688
2000010618 0.366883
2000010700 0.366884
2000010706 0.366995
2000010712 0.366662
2000010718 0.366775
2000010800 0.367111
2000010806 0.367
2000010812 0.366889
2000010818 0.366889
2000010900 0.366889
2000010906 0.366999
2000010912 0.366222
2000010918 0.365996
2000011000 0.365885
2000011006 0.365775
2000011012 0.365659
2000011018 0.365657
2000011100 0.365768
2000011106 0.365654
2000011112 0.36532
2000011118 0.365318
2000011200 0.365206
2000011206 0.365317
2000011212 0.364871
2000011218 0.364093
2000011300 0.364093
2000011306 0.363757
2000011312 0.362644
2000011318 0.362197
2000011400 0.361975
2000011406 0.361754
2000011412 0.36064
2000011418 0.360526
2000011500 0.360526
2000011506 0.360192
2000011512 0.35941
2000011518 0.359074
2000011600 0.358963
2000011606 0.358741
2000011612 0.357851
2000011618 0.357406
2000011700 0.357184
2000011706 0.356961
2000011712 0.356294
2000011718 0.356291
2000011800 0.356514
2000011806 0.356401
2000011812 0.355622
2000011818 0.355732
2000011900 0.355846
2000011906 0.355734
2000011912 0.355735
2000011918 0.355844
2000012000 0.355844
2000012006 0.356065
2000012012 0.356616
2000012018 0.357613
2000012100 0.358502
2000012106 0.358724
2000012112 0.358836
2000012118 0.35995
2000012200 0.360397
2000012206 0.360619
2000012212 0.360952
2000012218 0.362284
2000012300 0.363064
2000012306 0.363624
2000012312 0.364625
2000012318 0.366517
2000012400 0.367073
2000012406 0.367633
2000012412 0.3683
2000012418 0.369746
2000012500 0.369748
2000012506 0.36997
2000012512 0.370193
2000012518 0.37064
2000012600 0.370751
2000012606 0.371086
2000012612 0.370533
2000012618 0.370643
2000012700 0.370755
2000012706 0.370644
2000012712 0.369979
2000012718 0.3702
2000012800 0.370422
2000012806 0.370312
2000012812 0.370531
2000012818 0.371084
2000012900 0.371194
2000012906 0.371084
2000012912 0.371083
2000012918 0.370971
2000013000 0.37097
2000013006 0.37086
2000013012 0.370415
2000013018 0.37008
2000013100 0.37008
2000013106 0.370082
2000013112 0.368186
2000013118 0.367962
2000020100 0.367739
2000020106 0.367407
2000020112 0.366185
2000020118 0.365739
2000020200 0.365627
2000020206 0.365185
2000020212 0.364406
2000020218 0.364406
2000020300 0.364184
2000020306 0.364074
2000020312 0.363962
2000020318 0.364296
2000020400 0.364296
2000020406 0.364407
2000020412 0.364075
2000020418 0.364187
2000020500 0.364412
2000020506 0.364194
2000020512 0.364082
2000020518 0.363972
2000020600 0.364307
2000020606 0.364976
2000020612 0.365308
2000020618 0.366087
2000020700 0.366199
2000020706 0.366535
2000020712 0.366312
2000020718 0.366532
2000020800 0.366867
2000020806 0.366868
2000020812 0.366421
2000020818 0.366423
2000020900 0.366535
2000020906 0.366425
2000020912 0.365762
2000020918 0.365541
2000021000 0.365433
2000021006 0.365545
2000021012 0.365103
2000021018 0.364658
2000021100 0.364773
2000021106 0.364773
2000021112 0.364219
2000021118 0.36411
2000021200 0.364224
2000021206 0.364224
2000021212 0.363671
2000021218 0.36334
2000021300 0.363343
2000021306 0.363455
2000021312 0.362681
2000021318 0.36246
2000021400 0.362352
2000021406 0.362576
2000021412 0.361686
2000021418 0.361468
2000021500 0.361468
2000021506 0.361137
2000021512 0.360138
2000021518 0.359697
2000021600 0.359477
2000021606 0.359367
2000021612 0.357924
2000021618 0.357707
2000021700 0.357707
2000021706 0.357375
2000021712 0.356823
2000021718 0.356933
2000021800 0.357156
2000021806 0.35738
2000021812 0.35738
2000021818 0.358156
2000021900 0.359044
2000021906 0.359156
2000021912 0.359379
2000021918 0.359821
2000022000 0.360265
2000022006 0.360378
2000022012 0.360266
2000022018 0.360378
2000022100 0.360489
2000022106 0.360599
2000022112 0.360044
2000022118 0.360155
2000022200 0.360155
2000022206 0.360157
2000022212 0.359823
2000022218 0.359823
2000022300 0.3596
2000022306 0.35949
2000022312 0.3586
2000022318 0.358269
2000022400 0.358159
2000022406 0.357935
2000022412 0.35727
2000022418 0.357045
2000022500 0.356712
2000022506 0.356824
2000022512 0.356489
2000022518 0.3566
2000022600 0.356822
2000022606 0.356822
2000022612 0.356933
2000022618 0.357376
2000022700 0.357599
2000022706 0.357713
2000022712 0.357713
2000022718 0.358044
2000022800 0.35838
2000022806 0.358712
2000022812 0.358935
2000022818 0.359827
2000022900 0.360272
2000022906 0.360495
2000022912 0.360384
2000022918 0.360829
2000030100 0.361164
2000030106 0.361275
2000030112 0.361164
2000030118 0.361054
2000030200 0.361389
2000030206 0.361499
2000030212 0.361277
2000030218 0.361389
2000030300 0.361504
2000030306 0.361282
2000030312 0.36117
2000030318 0.361171
2000030400 0.361282
2000030406 0.360949
2000030412 0.360617
2000030418 0.360616
2000030500 0.360617
2000030506 0.360393
2000030512 0.359727
2000030518 0.359283
2000030600 0.359283
2000030606 0.35895
2000030612 0.358283
2000030618 0.358173
2000030700 0.358063
2000030706 0.358175
2000030712 0.357287
2000030718 0.357063
2000030800 0.357174
2000030806 0.357061
2000030812 0.356726
2000030818 0.356834
2000030900 0.357279
2000030906 0.3575
2000030912 0.357946
2000030918 0.359391
2000031000 0.360391
2000031006 0.360947
2000031012 0.361058
2000031018 0.361837
2000031100 0.36217
2000031106 0.362393
2000031112 0.362393
2000031118 0.362617
2000031200 0.362727
2000031206 0.362951
2000031212 0.363395
2000031218 0.364283
2000031300 0.365059
2000031306 0.365169
2000031312 0.365388
2000031318 0.366491
2000031400 0.367155
2000031406 0.367929
2000031412 0.368371
2000031418 0.369811
2000031500 0.370256
2000031506 0.370701
2000031512 0.371036
2000031518 0.371815
2000031600 0.372038
2000031606 0.372038
2000031612 0.372038
2000031618 0.372593
2000031700 0.372593
2000031706 0.372594
2000031712 0.37204
2000031718 0.371927
2000031800 0.371595
2000031806 0.371373
2000031812 0.370706
2000031818 0.370373
2000031900 0.370373
